801.00,5.000,17.429,6.752,6.752,0.000,0.000,1.0000,25.000,13.220,10.677,652.15
806.00,5.000,17.423,6.751,6.751,0.000,0.000,1.0000,25.000,13.254,10.672,652.88
811.00,5.000,17.417,6.750,6.750,0.000,0.000,1.0000,25.000,13.289,10.667,653.59
816.00,5.000,17.411,6.748,6.748,0.000,0.000,1.0000,25.000,13.323,10.662,654.31
821.00,5.000,17.405,6.747,6.747,0.000,0.000,1.0000,25.000,13.357,10.658,655.01
826.00,5.000,17.399,6.746,6.746,0.000,0.000,1.0000,25.000,13.392,10.653,655.72
831.00,5.000,17.392,6.744,6.744,0.000,0.000,1.0000,25.000,13.426,10.648,656.41
836.00,5.000,17.386,6.743,6.743,0.000,0.000,1.0000,25.000,13.460,10.644,657.11
841.00,5.000,17.380,6.741,6.741,0.000,0.000,1.0000,25.000,13.495,10.639,657.79
846.00,5.000,17.374,6.740,6.740,0.000,0.000,1.0000,25.000,13.529,10.634,658.47
851.00,5.000,17.368,6.738,6.738,0.000,0.000,1.0000,25.000,13.563,10.630,659.15
856.00,5.000,17.362,6.737,6.737,0.000,0.000,1.0000,25.000,13.598,10.625,659.82
861.00,5.000,17.356,6.735,6.735,0.000,0.000,1.0000,25.000,13.632,10.621,660.49
866.00,5.000,17.350,6.734,6.734,0.000,0.000,1.0000,25.000,13.666,10.616,661.15
871.00,5.000,17.344,6.732,6.732,0.000,0.000,1.0000,25.000,13.700,10.612,661.80
876.00,5.000,17.337,6.730,6.730,0.000,0.000,1.0000,25.000,13.735,10.607,662.45
881.00,5.000,17.331,6.729,6.729,0.000,0.000,1.0000,25.000,13.769,10.603,663.10
886.00,5.000,17.325,6.727,6.727,0.000,0.000,1.0000,25.000,13.803,10.598,663.74
891.00,5.000,17.319,6.725,6.725,0.000,0.000,1.0000,25.000,13.837,10.594,664.37
896.00,5.000,17.313,6.724,6.724,0.000,0.000,1.0000,25.000,13.872,10.589,665.00
901.00,5.000,17.307,6.722,6.722,0.000,0.000,1.0000,25.000,13.906,10.585,665.63
906.00,5.000,17.300,6.720,6.720,0.000,0.000,1.0000,25.000,13.940,10.580,666.25
911.00,5.000,17.294,6.718,6.718,0.000,0.000,1.0000,25.000,13.974,10.576,666.86
916.00,5.000,17.288,6.717,6.717,0.000,0.000,1.0000,25.000,14.008,10.571,667.47
921.00,5.000,17.282,6.715,6.715,0.000,0.000,1.0000,25.000,14.042,10.567,668.07
926.00,5.000,17.275,6.713,6.713,0.000,0.000,1.0000,25.000,14.076,10.563,668.67
931.00,5.000,17.269,6.711,6.711,0.000,0.000,1.0000,25.000,14.110,10.558,669.26
936.00,5.000,17.263,6.709,6.709,0.000,0.000,1.0000,25.000,14.144,10.554,669.85
941.00,5.000,17.257,6.707,6.707,0.000,0.000,1.0000,25.000,14.179,10.549,670.44
946.00,5.000,17.250,6.705,6.705,0.000,0.000,1.0000,25.000,14.213,10.545,671.01
951.00,5.000,17.244,6.703,6.703,0.000,0.000,1.0000,25.000,14.247,10.541,671.59
956.00,5.000,17.238,6.701,6.701,0.000,0.000,1.0000,25.000,14.281,10.537,672.16
961.00,5.000,17.232,6.699,6.699,0.000,0.000,1.0000,25.000,14.315,10.532,672.72
966.00,5.000,17.225,6.697,6.697,0.000,0.000,1.0000,25.000,14.349,10.528,673.28
971.00,5.000,17.219,6.695,6.695,0.000,0.000,1.0000,25.000,14.383,10.524,673.83
976.00,5.000,17.213,6.693,6.693,0.000,0.000,1.0000,25.000,14.417,10.519,674.38
981.00,5.000,17.206,6.691,6.691,0.000,0.000,1.0000,25.000,14.450,10.515,674.92
986.00,5.000,17.200,6.689,6.689,0.000,0.000,1.0000,25.000,14.484,10.511,675.46
991.00,5.000,17.194,6.687,6.687,0.000,0.000,1.0000,25.000,14.518,10.507,675.99
996.00,5.000,17.188,6.685,6.685,0.000,0.000,1.0000,25.000,14.552,10.503,676.52
1001.00,5.000,17.181,6.683,6.683,0.000,0.000,1.0000,25.000,14.586,10.498,677.04
1006.00,5.000,17.175,6.681,6.681,0.000,0.000,1.0000,25.000,14.620,10.494,677.56
1011.00,5.000,17.168,6.678,6.678,0.000,0.000,1.0000,25.000,14.654,10.490,678.08
1016.00,5.000,17.162,6.676,6.676,0.000,0.000,1.0000,25.000,14.688,10.486,678.58
1021.00,5.000,17.156,6.674,6.674,0.000,0.000,1.0000,25.000,14.722,10.482,679.09
1026.00,5.000,17.149,6.672,6.672,0.000,0.000,1.0000,25.000,14.755,10.478,679.59
1031.00,5.000,17.143,6.670,6.670,0.000,0.000,1.0000,25.000,14.789,10.473,680.08
1036.00,5.000,17.137,6.667,6.667,0.000,0.000,1.0000,25.000,14.823,10.469,680.57
1041.00,5.000,17.130,6.665,6.665,0.000,0.000,1.0000,25.000,14.857,10.465,681.05
1046.00,5.000,17.124,6.663,6.663,0.000,0.000,1.0000,25.000,14.890,10.461,681.53
1051.00,5.000,17.117,6.660,6.660,0.000,0.000,1.0000,25.000,14.924,10.457,682.01
1056.00,5.000,17.111,6.658,6.658,0.000,0.000,1.0000,25.000,14.958,10.453,682.48
1061.00,5.000,17.105,6.656,6.656,0.000,0.000,1.0000,25.000,14.992,10.449,682.94
1066.00,5.000,17.098,6.653,6.653,0.000,0.000,1.0000,25.000,15.025,10.445,683.40
1071.00,5.000,17.092,6.651,6.651,0.000,0.000,1.0000,25.000,15.059,10.441,683.85
1076.00,5.000,17.085,6.648,6.648,0.000,0.000,1.0000,25.000,15.093,10.437,684.30
1081.00,5.000,17.079,6.646,6.646,0.000,0.000,1.0000,25.000,15.126,10.433,684.75
